device: cuda
train=107718  valid=11973  test=120363

=== single model ===
/home/nagle/miniconda3/envs/toehold_gpu/lib/python3.10/site-packages/torch/nn/modules/lazy.py:178: UserWarning: Lazy modules are a new feature under heavy development so changes to the API or functionality can happen at any moment.
  warnings.warn('Lazy modules are a new feature under heavy development '
  [single] epoch   1  val_pearson=0.8259 *
  [single] epoch   2  val_pearson=0.8487 *
  [single] epoch   3  val_pearson=0.8612 *
  [single] epoch   4  val_pearson=0.8686 *
  [single] epoch   5  val_pearson=0.8691 *
  [single] epoch   6  val_pearson=0.8750 *
  [single] epoch   7  val_pearson=0.8699
  [single] epoch   8  val_pearson=0.8772 *
  [single] epoch   9  val_pearson=0.8760
  [single] epoch  10  val_pearson=0.8772
  [single] epoch  11  val_pearson=0.8783 *
  [single] epoch  12  val_pearson=0.8818 *
  [single] epoch  13  val_pearson=0.8840 *
  [single] epoch  14  val_pearson=0.8855 *
  [single] epoch  15  val_pearson=0.8840
  [single] epoch  16  val_pearson=0.8837
  [single] epoch  17  val_pearson=0.8845
  [single] epoch  18  val_pearson=0.8843
  [single] epoch  19  val_pearson=0.8875 *
  [single] epoch  20  val_pearson=0.8856
  [single] epoch  21  val_pearson=0.8854
  [single] epoch  22  val_pearson=0.8878 *
  [single] epoch  23  val_pearson=0.8878 *
  [single] epoch  24  val_pearson=0.8879 *
  [single] epoch  25  val_pearson=0.8892 *
  [single] epoch  26  val_pearson=0.8882
  [single] epoch  27  val_pearson=0.8895 *
  [single] epoch  28  val_pearson=0.8859
  [single] epoch  29  val_pearson=0.8878
  [single] epoch  30  val_pearson=0.8883
  [single] epoch  31  val_pearson=0.8884
  [single] epoch  32  val_pearson=0.8912 *
  [single] epoch  33  val_pearson=0.8927 *
  [single] epoch  34  val_pearson=0.8914
  [single] epoch  35  val_pearson=0.8880
  [single] epoch  36  val_pearson=0.8908
  [single] epoch  37  val_pearson=0.8908
  [single] epoch  38  val_pearson=0.8921
  [single] epoch  39  val_pearson=0.8904
  [single] epoch  40  val_pearson=0.8936 *
  [single] epoch  41  val_pearson=0.8924
  [single] epoch  42  val_pearson=0.8920
  [single] epoch  43  val_pearson=0.8921
  [single] epoch  44  val_pearson=0.8913
  [single] epoch  45  val_pearson=0.8899
  [single] epoch  46  val_pearson=0.8934
  [single] epoch  47  val_pearson=0.8926
  [single] decay LR -> 3.00e-04
  [single] epoch  48  val_pearson=0.8940 *
  [single] epoch  49  val_pearson=0.8945 *
  [single] epoch  50  val_pearson=0.8952 *
  [single] epoch  51  val_pearson=0.8945
  [single] epoch  52  val_pearson=0.8951
  [single] epoch  53  val_pearson=0.8957 *
  [single] epoch  54  val_pearson=0.8954
  [single] epoch  55  val_pearson=0.8944
  [single] epoch  56  val_pearson=0.8950
  [single] epoch  57  val_pearson=0.8952
  [single] epoch  58  val_pearson=0.8943
  [single] epoch  59  val_pearson=0.8945
  [single] epoch  60  val_pearson=0.8952
  [single] decay LR -> 9.00e-05
  [single] epoch  61  val_pearson=0.8952
  [single] epoch  62  val_pearson=0.8957
  [single] epoch  63  val_pearson=0.8949
  [single] epoch  64  val_pearson=0.8953
  [single] epoch  65  val_pearson=0.8950
  [single] epoch  66  val_pearson=0.8950
  [single] epoch  67  val_pearson=0.8957
  [single] decay LR -> 2.70e-05
  [single] epoch  68  val_pearson=0.8958 *
  [single] epoch  69  val_pearson=0.8954
  [single] epoch  70  val_pearson=0.8961 *
  [single] epoch  71  val_pearson=0.8939
  [single] epoch  72  val_pearson=0.8955
  [single] epoch  73  val_pearson=0.8954
  [single] epoch  74  val_pearson=0.8953
  [single] epoch  75  val_pearson=0.8951
  [single] epoch  76  val_pearson=0.8953
  [single] epoch  77  val_pearson=0.8949
  [single] decay LR -> 8.10e-06
  [single] epoch  78  val_pearson=0.8950
  [single] epoch  79  val_pearson=0.8959
  [single] epoch  80  val_pearson=0.8957
  [single] epoch  81  val_pearson=0.8955
  [single] epoch  82  val_pearson=0.8956
  [single] epoch  83  val_pearson=0.8941
  [single] epoch  84  val_pearson=0.8956
  [single] decay LR -> 2.43e-06
  [single] epoch  85  val_pearson=0.8954
  [single] epoch  86  val_pearson=0.8953
  [single] epoch  87  val_pearson=0.8956
  [single] epoch  88  val_pearson=0.8956
  [single] epoch  89  val_pearson=0.8956
  [single] epoch  90  val_pearson=0.8954
  [single] early stop at epoch 90
  best val pearson = 0.8961
  test  pearson    = 0.8814

=== 10-member ensemble ===
  [member0] epoch   1  val_pearson=0.8265 *
  [member0] epoch   2  val_pearson=0.8432 *
  [member0] epoch   3  val_pearson=0.8617 *
  [member0] epoch   4  val_pearson=0.8680 *
  [member0] epoch   5  val_pearson=0.8686 *
  [member0] epoch   6  val_pearson=0.8712 *
  [member0] epoch   7  val_pearson=0.8704
  [member0] epoch   8  val_pearson=0.8768 *
  [member0] epoch   9  val_pearson=0.8758
  [member0] epoch  10  val_pearson=0.8762
  [member0] epoch  11  val_pearson=0.8801 *
  [member0] epoch  12  val_pearson=0.8846 *
  [member0] epoch  13  val_pearson=0.8834
  [member0] epoch  14  val_pearson=0.8851 *
  [member0] epoch  15  val_pearson=0.8860 *
  [member0] epoch  16  val_pearson=0.8858
  [member0] epoch  17  val_pearson=0.8867 *
  [member0] epoch  18  val_pearson=0.8824
  [member0] epoch  19  val_pearson=0.8876 *
  [member0] epoch  20  val_pearson=0.8848
  [member0] epoch  21  val_pearson=0.8854
  [member0] epoch  22  val_pearson=0.8891 *
  [member0] epoch  23  val_pearson=0.8884
  [member0] epoch  24  val_pearson=0.8874
  [member0] epoch  25  val_pearson=0.8888
  [member0] epoch  26  val_pearson=0.8892 *
  [member0] epoch  27  val_pearson=0.8896 *
  [member0] epoch  28  val_pearson=0.8881
  [member0] epoch  29  val_pearson=0.8893
  [member0] epoch  30  val_pearson=0.8905 *
  [member0] epoch  31  val_pearson=0.8874
  [member0] epoch  32  val_pearson=0.8893
  [member0] epoch  33  val_pearson=0.8913 *
  [member0] epoch  34  val_pearson=0.8897
  [member0] epoch  35  val_pearson=0.8882
  [member0] epoch  36  val_pearson=0.8923 *
  [member0] epoch  37  val_pearson=0.8901
  [member0] epoch  38  val_pearson=0.8914
  [member0] epoch  39  val_pearson=0.8890
  [member0] epoch  40  val_pearson=0.8921
  [member0] epoch  41  val_pearson=0.8914
  [member0] epoch  42  val_pearson=0.8913
  [member0] epoch  43  val_pearson=0.8902
  [member0] decay LR -> 3.00e-04
  [member0] epoch  44  val_pearson=0.8929 *
  [member0] epoch  45  val_pearson=0.8910
  [member0] epoch  46  val_pearson=0.8945 *
  [member0] epoch  47  val_pearson=0.8943
  [member0] epoch  48  val_pearson=0.8935
  [member0] epoch  49  val_pearson=0.8930
  [member0] epoch  50  val_pearson=0.8944
  [member0] epoch  51  val_pearson=0.8938
  [member0] epoch  52  val_pearson=0.8944
  [member0] epoch  53  val_pearson=0.8949 *
  [member0] epoch  54  val_pearson=0.8943
  [member0] epoch  55  val_pearson=0.8931
  [member0] epoch  56  val_pearson=0.8945
  [member0] epoch  57  val_pearson=0.8953 *
  [member0] epoch  58  val_pearson=0.8944
  [member0] epoch  59  val_pearson=0.8941
  [member0] epoch  60  val_pearson=0.8954 *
  [member0] epoch  61  val_pearson=0.8944
  [member0] epoch  62  val_pearson=0.8955 *
  [member0] epoch  63  val_pearson=0.8938
  [member0] epoch  64  val_pearson=0.8942
  [member0] epoch  65  val_pearson=0.8944
  [member0] epoch  66  val_pearson=0.8938
  [member0] epoch  67  val_pearson=0.8952
  [member0] epoch  68  val_pearson=0.8954
  [member0] epoch  69  val_pearson=0.8940
  [member0] decay LR -> 9.00e-05
  [member0] epoch  70  val_pearson=0.8959 *
  [member0] epoch  71  val_pearson=0.8939
  [member0] epoch  72  val_pearson=0.8957
  [member0] epoch  73  val_pearson=0.8949
  [member0] epoch  74  val_pearson=0.8952
  [member0] epoch  75  val_pearson=0.8952
  [member0] epoch  76  val_pearson=0.8954
  [member0] epoch  77  val_pearson=0.8951
  [member0] decay LR -> 2.70e-05
  [member0] epoch  78  val_pearson=0.8951
  [member0] epoch  79  val_pearson=0.8965 *
  [member0] epoch  80  val_pearson=0.8964
  [member0] epoch  81  val_pearson=0.8960
  [member0] epoch  82  val_pearson=0.8961
  [member0] epoch  83  val_pearson=0.8944
  [member0] epoch  84  val_pearson=0.8962
  [member0] epoch  85  val_pearson=0.8960
  [member0] epoch  86  val_pearson=0.8957
  [member0] decay LR -> 8.10e-06
  [member0] epoch  87  val_pearson=0.8959
  [member0] epoch  88  val_pearson=0.8960
  [member0] epoch  89  val_pearson=0.8963
  [member0] epoch  90  val_pearson=0.8962
  [member0] epoch  91  val_pearson=0.8951
  [member0] epoch  92  val_pearson=0.8958
  [member0] epoch  93  val_pearson=0.8959
  [member0] decay LR -> 2.43e-06
  [member0] epoch  94  val_pearson=0.8962
  [member0] epoch  95  val_pearson=0.8958
  [member0] epoch  96  val_pearson=0.8957
  [member0] epoch  97  val_pearson=0.8959
  [member0] epoch  98  val_pearson=0.8955
  [member0] epoch  99  val_pearson=0.8955
  [member0] early stop at epoch 99
  member  0 (seed 43): best val pearson = 0.8965
  [member1] epoch   1  val_pearson=0.8338 *
  [member1] epoch   2  val_pearson=0.8540 *
  [member1] epoch   3  val_pearson=0.8642 *
  [member1] epoch   4  val_pearson=0.8627
  [member1] epoch   5  val_pearson=0.8712 *
  [member1] epoch   6  val_pearson=0.8738 *
  [member1] epoch   7  val_pearson=0.8754 *
  [member1] epoch   8  val_pearson=0.8732
  [member1] epoch   9  val_pearson=0.8754
  [member1] epoch  10  val_pearson=0.8827 *
  [member1] epoch  11  val_pearson=0.8793
  [member1] epoch  12  val_pearson=0.8819
  [member1] epoch  13  val_pearson=0.8828 *
  [member1] epoch  14  val_pearson=0.8812
  [member1] epoch  15  val_pearson=0.8857 *
