activity_bin,n_sequences,median_oracle_activity,motif_intact_fraction,mutation_count_matched_null_fraction,mean_mutations
1,1000,-2.780165672302246,0.051,0.35078162471743984,8.622
2,1000,-2.563066244125366,0.223,0.39742017993109136,7.544
3,1000,-2.3455854654312134,0.443,0.4072097496924198,7.312
4,1000,-2.127969264984131,0.617,0.4441536513308015,6.584
5,1000,-1.9107824563980103,0.675,0.46254608899409927,6.25
6,1000,-1.6934335231781006,0.743,0.49549318786546,5.654
7,1000,-1.4760922193527222,0.782,0.503475829932826,5.516
8,1000,-1.258223295211792,0.835,0.505505992810229,5.454
9,1000,-1.0414164066314697,0.835,0.5185250694557497,5.21
10,1000,-0.8239171504974365,0.842,0.5225913493230566,5.198
11,1000,-0.606554388999939,0.852,0.5251016922916795,5.134
12,1000,-0.38920748233795166,0.853,0.5337354970256125,5.03
13,1000,-0.17220145463943481,0.881,0.5400747399912997,4.872
14,1000,0.045360714197158813,0.876,0.5402993496112879,4.904
15,1000,0.26323434710502625,0.868,0.5477206824677942,4.858
16,1000,0.4803686589002609,0.843,0.5335896999991991,5.084
17,1000,0.697696715593338,0.854,0.5320289058684438,5.076
18,1000,0.9151873886585236,0.81,0.5048422627228788,5.574
19,1000,1.1323659420013428,0.774,0.4705233107107304,6.278
20,1000,1.3498110175132751,0.71,0.42280520898107543,7.208
