2026-03-13 16:22:17,218 INFO    MainThread:4096990 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2026-03-13 16:22:17,219 INFO    MainThread:4096990 [wandb_setup.py:_flush():79] Configure stats pid to 4096990
2026-03-13 16:22:17,219 INFO    MainThread:4096990 [wandb_setup.py:_flush():79] Loading settings from /home/nagle/.config/wandb/settings
2026-03-13 16:22:17,219 INFO    MainThread:4096990 [wandb_setup.py:_flush():79] Loading settings from /home/nagle/final_version/wandb/settings
2026-03-13 16:22:17,219 INFO    MainThread:4096990 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'api_key': '***REDACTED***', '_require_legacy_service': 'true', 'entity': 'romanagle-university-of-california-berkeley', 'project': 'final_version-scripts', 'sweep_id': '8ok62pcw', 'root_dir': '/home/nagle/final_version', 'run_id': 'l4hohu9e', 'sweep_param_path': '/home/nagle/final_version/wandb/sweep-8ok62pcw/config-l4hohu9e.yaml'}
2026-03-13 16:22:17,219 INFO    MainThread:4096990 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2026-03-13 16:22:17,219 INFO    MainThread:4096990 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'scripts/wandb_sweep.py', 'program_abspath': '/home/nagle/final_version/scripts/wandb_sweep.py', 'program': 'scripts/wandb_sweep.py'}
2026-03-13 16:22:17,219 INFO    MainThread:4096990 [wandb_setup.py:_flush():79] Applying login settings: {}
2026-03-13 16:22:17,219 INFO    MainThread:4096990 [wandb_init.py:_log_setup():533] Logging user logs to /home/nagle/final_version/wandb/run-20260313_162217-l4hohu9e/logs/debug.log
2026-03-13 16:22:17,219 INFO    MainThread:4096990 [wandb_init.py:_log_setup():534] Logging internal logs to /home/nagle/final_version/wandb/run-20260313_162217-l4hohu9e/logs/debug-internal.log
2026-03-13 16:22:17,219 INFO    MainThread:4096990 [wandb_init.py:init():619] calling init triggers
2026-03-13 16:22:17,219 INFO    MainThread:4096990 [wandb_init.py:init():627] wandb.init called with sweep_config: {'mut_rate_int': 14, 'potts_df': 10, 'potts_lambda_J': 4.438064115694607, 'potts_p_edge': 0.8535515797037982, 'potts_p_rescue': 0.0673805221323005, 'seed': 0, 'seq_length': 20}
config: {}
2026-03-13 16:22:17,219 INFO    MainThread:4096990 [wandb_init.py:init():669] starting backend
2026-03-13 16:22:17,219 INFO    MainThread:4096990 [wandb_init.py:init():673] sending inform_init request
2026-03-13 16:22:17,225 INFO    MainThread:4096990 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2026-03-13 16:22:17,226 INFO    MainThread:4096990 [wandb_init.py:init():686] backend started and connected
2026-03-13 16:22:17,231 INFO    MainThread:4096990 [wandb_run.py:_config_callback():1387] config_cb None None {'mut_rate_int': 14, 'potts_df': 10, 'potts_lambda_J': 4.438064115694607, 'potts_p_edge': 0.8535515797037982, 'potts_p_rescue': 0.0673805221323005, 'seed': 0, 'seq_length': 20}
2026-03-13 16:22:17,233 INFO    MainThread:4096990 [wandb_init.py:init():781] updated telemetry
2026-03-13 16:22:17,270 INFO    MainThread:4096990 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2026-03-13 16:22:17,538 INFO    MainThread:4096990 [wandb_init.py:init():867] starting run threads in backend
2026-03-13 16:22:20,556 INFO    MainThread:4096990 [wandb_run.py:_console_start():2456] atexit reg
2026-03-13 16:22:20,556 INFO    MainThread:4096990 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2026-03-13 16:22:20,556 INFO    MainThread:4096990 [wandb_run.py:_redirect():2370] Wrapping output streams.
2026-03-13 16:22:20,556 INFO    MainThread:4096990 [wandb_run.py:_redirect():2395] Redirects installed.
2026-03-13 16:22:20,560 INFO    MainThread:4096990 [wandb_init.py:init():911] run started, returning control to user process
2026-03-13 16:22:20,560 INFO    MainThread:4096990 [wandb_run.py:_config_callback():1387] config_cb None None {'seq': 'AAAAAAACCCCCAAAAAAUC', 'seq_length_actual': 20, 'mut_rate': 0.7}
2026-03-13 16:30:42,300 INFO    MainThread:4096990 [wandb_run.py:_finish():2155] finishing run romanagle-university-of-california-berkeley/final_version-scripts/l4hohu9e
2026-03-13 16:30:42,300 INFO    MainThread:4096990 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2026-03-13 16:30:42,300 INFO    MainThread:4096990 [wandb_run.py:_restore():2402] restore
2026-03-13 16:30:42,300 INFO    MainThread:4096990 [wandb_run.py:_restore():2408] restore done
2026-03-13 16:30:48,367 INFO    MainThread:4096990 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2026-03-13 16:30:48,369 INFO    MainThread:4096990 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2026-03-13 16:30:48,376 INFO    MainThread:4096990 [wandb_run.py:_footer_sync_info():3921] logging synced files
