2026-03-14 22:21:42,858 INFO    MainThread:2808699 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2026-03-14 22:21:42,859 INFO    MainThread:2808699 [wandb_setup.py:_flush():79] Configure stats pid to 2808699
2026-03-14 22:21:42,859 INFO    MainThread:2808699 [wandb_setup.py:_flush():79] Loading settings from /home/nagle/.config/wandb/settings
2026-03-14 22:21:42,859 INFO    MainThread:2808699 [wandb_setup.py:_flush():79] Loading settings from /home/nagle/final_version/wandb/settings
2026-03-14 22:21:42,859 INFO    MainThread:2808699 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'api_key': '***REDACTED***', '_require_legacy_service': 'true', 'entity': 'romanagle-university-of-california-berkeley', 'project': 'final_version-scripts', 'sweep_id': '8ok62pcw', 'root_dir': '/home/nagle/final_version', 'run_id': '4dv9bsjm', 'sweep_param_path': '/home/nagle/final_version/wandb/sweep-8ok62pcw/config-4dv9bsjm.yaml'}
2026-03-14 22:21:42,859 INFO    MainThread:2808699 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2026-03-14 22:21:42,859 INFO    MainThread:2808699 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'scripts/wandb_sweep.py', 'program_abspath': '/home/nagle/final_version/scripts/wandb_sweep.py', 'program': 'scripts/wandb_sweep.py'}
2026-03-14 22:21:42,859 INFO    MainThread:2808699 [wandb_setup.py:_flush():79] Applying login settings: {}
2026-03-14 22:21:42,859 INFO    MainThread:2808699 [wandb_init.py:_log_setup():533] Logging user logs to /home/nagle/final_version/wandb/run-20260314_222142-4dv9bsjm/logs/debug.log
2026-03-14 22:21:42,859 INFO    MainThread:2808699 [wandb_init.py:_log_setup():534] Logging internal logs to /home/nagle/final_version/wandb/run-20260314_222142-4dv9bsjm/logs/debug-internal.log
2026-03-14 22:21:42,859 INFO    MainThread:2808699 [wandb_init.py:init():619] calling init triggers
2026-03-14 22:21:42,859 INFO    MainThread:2808699 [wandb_init.py:init():627] wandb.init called with sweep_config: {'mut_rate_int': 14, 'potts_df': 10, 'potts_lambda_J': 4.322243628723453, 'potts_p_edge': 0.811306018751895, 'potts_p_rescue': 0.07983528513392377, 'seed': 0, 'seq_length': 20}
config: {}
2026-03-14 22:21:42,859 INFO    MainThread:2808699 [wandb_init.py:init():669] starting backend
2026-03-14 22:21:42,859 INFO    MainThread:2808699 [wandb_init.py:init():673] sending inform_init request
2026-03-14 22:21:42,865 INFO    MainThread:2808699 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2026-03-14 22:21:42,866 INFO    MainThread:2808699 [wandb_init.py:init():686] backend started and connected
2026-03-14 22:21:42,871 INFO    MainThread:2808699 [wandb_run.py:_config_callback():1387] config_cb None None {'mut_rate_int': 14, 'potts_df': 10, 'potts_lambda_J': 4.322243628723453, 'potts_p_edge': 0.811306018751895, 'potts_p_rescue': 0.07983528513392377, 'seed': 0, 'seq_length': 20}
2026-03-14 22:21:42,873 INFO    MainThread:2808699 [wandb_init.py:init():781] updated telemetry
2026-03-14 22:21:42,891 INFO    MainThread:2808699 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2026-03-14 22:21:43,155 INFO    MainThread:2808699 [wandb_init.py:init():867] starting run threads in backend
2026-03-14 22:21:46,232 INFO    MainThread:2808699 [wandb_run.py:_console_start():2456] atexit reg
2026-03-14 22:21:46,232 INFO    MainThread:2808699 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2026-03-14 22:21:46,233 INFO    MainThread:2808699 [wandb_run.py:_redirect():2370] Wrapping output streams.
2026-03-14 22:21:46,233 INFO    MainThread:2808699 [wandb_run.py:_redirect():2395] Redirects installed.
2026-03-14 22:21:46,236 INFO    MainThread:2808699 [wandb_init.py:init():911] run started, returning control to user process
2026-03-14 22:21:46,237 INFO    MainThread:2808699 [wandb_run.py:_config_callback():1387] config_cb None None {'seq': 'AAAAAAACCCCCAAAAAAUC', 'seq_length_actual': 20, 'mut_rate': 0.7}
2026-03-14 22:29:28,494 INFO    MainThread:2808699 [wandb_run.py:_finish():2155] finishing run romanagle-university-of-california-berkeley/final_version-scripts/4dv9bsjm
2026-03-14 22:29:28,494 INFO    MainThread:2808699 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2026-03-14 22:29:28,494 INFO    MainThread:2808699 [wandb_run.py:_restore():2402] restore
2026-03-14 22:29:28,494 INFO    MainThread:2808699 [wandb_run.py:_restore():2408] restore done
2026-03-14 22:29:34,993 INFO    MainThread:2808699 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2026-03-14 22:29:34,995 INFO    MainThread:2808699 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2026-03-14 22:29:35,003 INFO    MainThread:2808699 [wandb_run.py:_footer_sync_info():3921] logging synced files
