2026-03-16 15:39:14,325 INFO    MainThread:2337956 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2026-03-16 15:39:14,326 INFO    MainThread:2337956 [wandb_setup.py:_flush():79] Configure stats pid to 2337956
2026-03-16 15:39:14,326 INFO    MainThread:2337956 [wandb_setup.py:_flush():79] Loading settings from /home/nagle/.config/wandb/settings
2026-03-16 15:39:14,326 INFO    MainThread:2337956 [wandb_setup.py:_flush():79] Loading settings from /home/nagle/final_version/wandb/settings
2026-03-16 15:39:14,326 INFO    MainThread:2337956 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'api_key': '***REDACTED***', '_require_legacy_service': 'true', 'entity': 'romanagle-university-of-california-berkeley', 'project': 'final_version-scripts', 'sweep_id': '8ok62pcw', 'root_dir': '/home/nagle/final_version', 'run_id': 'bj4uotnr', 'sweep_param_path': '/home/nagle/final_version/wandb/sweep-8ok62pcw/config-bj4uotnr.yaml'}
2026-03-16 15:39:14,326 INFO    MainThread:2337956 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2026-03-16 15:39:14,326 INFO    MainThread:2337956 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'scripts/wandb_sweep.py', 'program_abspath': '/home/nagle/final_version/scripts/wandb_sweep.py', 'program': 'scripts/wandb_sweep.py'}
2026-03-16 15:39:14,326 INFO    MainThread:2337956 [wandb_setup.py:_flush():79] Applying login settings: {}
2026-03-16 15:39:14,326 INFO    MainThread:2337956 [wandb_init.py:_log_setup():533] Logging user logs to /home/nagle/final_version/wandb/run-20260316_153914-bj4uotnr/logs/debug.log
2026-03-16 15:39:14,326 INFO    MainThread:2337956 [wandb_init.py:_log_setup():534] Logging internal logs to /home/nagle/final_version/wandb/run-20260316_153914-bj4uotnr/logs/debug-internal.log
2026-03-16 15:39:14,326 INFO    MainThread:2337956 [wandb_init.py:init():619] calling init triggers
2026-03-16 15:39:14,326 INFO    MainThread:2337956 [wandb_init.py:init():627] wandb.init called with sweep_config: {'mut_rate_int': 10, 'potts_df': 20, 'potts_lambda_J': 4.74214078406852, 'potts_p_edge': 0.9378609738278278, 'potts_p_rescue': 0.04290974599169012, 'seed': 1, 'seq_length': 15}
config: {}
2026-03-16 15:39:14,326 INFO    MainThread:2337956 [wandb_init.py:init():669] starting backend
2026-03-16 15:39:14,326 INFO    MainThread:2337956 [wandb_init.py:init():673] sending inform_init request
2026-03-16 15:39:14,333 INFO    MainThread:2337956 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2026-03-16 15:39:14,333 INFO    MainThread:2337956 [wandb_init.py:init():686] backend started and connected
2026-03-16 15:39:14,338 INFO    MainThread:2337956 [wandb_run.py:_config_callback():1387] config_cb None None {'mut_rate_int': 10, 'potts_df': 20, 'potts_lambda_J': 4.74214078406852, 'potts_p_edge': 0.9378609738278278, 'potts_p_rescue': 0.04290974599169012, 'seed': 1, 'seq_length': 15}
2026-03-16 15:39:14,340 INFO    MainThread:2337956 [wandb_init.py:init():781] updated telemetry
2026-03-16 15:39:14,370 INFO    MainThread:2337956 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2026-03-16 15:39:14,752 INFO    MainThread:2337956 [wandb_init.py:init():867] starting run threads in backend
2026-03-16 15:39:17,794 INFO    MainThread:2337956 [wandb_run.py:_console_start():2456] atexit reg
2026-03-16 15:39:17,795 INFO    MainThread:2337956 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2026-03-16 15:39:17,795 INFO    MainThread:2337956 [wandb_run.py:_redirect():2370] Wrapping output streams.
2026-03-16 15:39:17,795 INFO    MainThread:2337956 [wandb_run.py:_redirect():2395] Redirects installed.
2026-03-16 15:39:17,798 INFO    MainThread:2337956 [wandb_init.py:init():911] run started, returning control to user process
2026-03-16 15:39:17,799 INFO    MainThread:2337956 [wandb_run.py:_config_callback():1387] config_cb None None {'seq': 'AAAAAAACCCCCAAA', 'seq_length_actual': 15, 'mut_rate': 0.6666666666666666}
2026-03-16 15:48:01,982 INFO    MainThread:2337956 [wandb_run.py:_finish():2155] finishing run romanagle-university-of-california-berkeley/final_version-scripts/bj4uotnr
2026-03-16 15:48:01,983 INFO    MainThread:2337956 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2026-03-16 15:48:01,983 INFO    MainThread:2337956 [wandb_run.py:_restore():2402] restore
2026-03-16 15:48:01,983 INFO    MainThread:2337956 [wandb_run.py:_restore():2408] restore done
2026-03-16 15:48:10,658 INFO    MainThread:2337956 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2026-03-16 15:48:10,660 INFO    MainThread:2337956 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2026-03-16 15:48:10,666 INFO    MainThread:2337956 [wandb_run.py:_footer_sync_info():3921] logging synced files
