bin_start,bin_end,n_total,n_above,n_below,n_equal,mean_delta_f1,min_delta_f1,max_delta_f1,median_delta_f1,q1,q3
0.0,0.1,817,194,49,574,0.05982764802277291,-0.09523310633839706,1.0,0.0,0.0,0.0
0.1,0.2,287,130,58,99,0.04037702021706366,-0.1917721518987342,0.6760588000659968,0.0,0.0,0.03390928833358766
0.2,0.3,342,128,82,132,0.022999278185282558,-0.2941309639564124,0.5812668773292076,0.0,0.0,0.034791068560042646
0.3,0.4,253,88,60,105,0.00632738110897225,-0.39998686240891557,0.46638910635127,0.0,0.0,0.02125396148903219
0.4,0.5,204,66,54,84,-0.002271121395998715,-0.49999652432969216,0.4810226564123882,0.0,-0.006101444460616182,0.01856494087043435
0.5,0.6,187,64,52,71,-0.014440214459404271,-0.5684149584012351,0.32859701997487933,0.0,-0.015440268493629727,0.020100096228094944
0.6,0.7,159,40,49,70,-0.03220780242767102,-0.6842,0.23291232865471878,0.0,-0.02319812084131867,0.0031335832291101706
0.7,0.8,167,48,38,81,-0.0205752494319296,-0.7143100816298054,0.26318448809448614,0.0,0.0,0.0301317325181113
0.8,0.9,55,10,13,32,-0.04477764005244102,-0.8888964504009421,0.07315386680988167,0.0,0.0,0.0
0.9,1.0,31,2,7,22,-0.037616823884414057,-0.4146491377838484,0.022198695171395944,0.0,0.0,0.0
